"Imbalance settlement period (UTC)","+ Imbalance Price [CZK/MWh] - MBA|CZ","- Imbalance Price [CZK/MWh] - MBA|CZ","Status","Total Imbalance [MWh] - MBA|CZ","Difference","Situation","Status"
"06.01.2020 11:00 - 06.01.2020 12:00","-121","-1","Estimated","34","","Surplus","Final"
"06.01.2020 12:00 - 06.01.2020 13:00","-61","-1","Estimated","17","","Surplus","Final"
"06.01.2020 13:00 - 06.01.2020 14:00","-329","-1","Estimated","94","","Surplus","Final"
"06.01.2020 14:00 - 06.01.2020 15:00","-374","-1","Estimated","107","","Surplus","Final"
"06.01.2020 15:00 - 06.01.2020 16:00","-65","-1","Estimated","18","","Surplus","Final"
"06.01.2020 16:00 - 06.01.2020 17:00","-40","-1","Estimated","11","","Surplus","Final"
"06.01.2020 17:00 - 06.01.2020 18:00","2412","2350","Estimated","11","","Deficit","Final"
"06.01.2020 18:00 - 06.01.2020 19:00","-75","-1","Estimated","21","","Surplus","Final"
"06.01.2020 19:00 - 06.01.2020 20:00","-8","-1","Estimated","2","","Surplus","Final"
"06.01.2020 20:00 - 06.01.2020 21:00","-103","-1","Estimated","29","","Surplus","Final"
"06.01.2020 21:00 - 06.01.2020 22:00","2447","2350","Estimated","18","","Deficit","Final"
"06.01.2020 22:00 - 06.01.2020 23:00","-108","-1","Estimated","31","","Surplus","Final"
"06.01.2020 23:00 - 07.01.2020 00:00","2548","2350","Estimated","36","","Deficit","Final"
"07.01.2020 00:00 - 07.01.2020 01:00","2559","2350","Estimated","38","","Deficit","Final"
"07.01.2020 01:00 - 07.01.2020 02:00","2463","2350","Estimated","21","","Deficit","Final"
"07.01.2020 02:00 - 07.01.2020 03:00","2475","2350","Estimated","23","","Deficit","Final"
"07.01.2020 03:00 - 07.01.2020 04:00","2542","2350","Estimated","35","","Deficit","Final"
"07.01.2020 04:00 - 07.01.2020 05:00","2607","2350","Estimated","47","","Deficit","Final"
"07.01.2020 05:00 - 07.01.2020 06:00","2902","2350","Estimated","100","","Deficit","Final"
"07.01.2020 06:00 - 07.01.2020 07:00","2897","2350","Estimated","99","","Deficit","Final"
"07.01.2020 07:00 - 07.01.2020 08:00","-159","-1","Estimated","45","","Surplus","Final"
"07.01.2020 08:00 - 07.01.2020 09:00","2659","2350","Estimated","56","","Deficit","Final"
"07.01.2020 09:00 - 07.01.2020 10:00","2762","2350","Estimated","75","","Deficit","Final"
"07.01.2020 10:00 - 07.01.2020 11:00","-72","-1","Estimated","20","","Surplus","Final"
"07.01.2020 11:00 - 07.01.2020 12:00","2574","2350","Estimated","41","","Deficit","Final"
"07.01.2020 12:00 - 07.01.2020 13:00","2920","2350","Estimated","104","","Deficit","Final"
"07.01.2020 13:00 - 07.01.2020 14:00","-29","-1","Estimated","8","","Surplus","Final"
"07.01.2020 14:00 - 07.01.2020 15:00","2442","2328","Estimated","17","","Deficit","Final"
"07.01.2020 15:00 - 07.01.2020 16:00","-89","-1","Estimated","25","","Surplus","Final"
"07.01.2020 16:00 - 07.01.2020 17:00","-168","-1","Estimated","48","","Surplus","Final"
"07.01.2020 17:00 - 07.01.2020 18:00","2454","2350","Estimated","19","","Deficit","Final"
"07.01.2020 18:00 - 07.01.2020 19:00","2358","2350","Estimated","1","","Deficit","Final"
"07.01.2020 19:00 - 07.01.2020 20:00","-213","-1","Estimated","61","","Surplus","Final"
"07.01.2020 20:00 - 07.01.2020 21:00","-197","-1","Estimated","56","","Surplus","Final"
"07.01.2020 21:00 - 07.01.2020 22:00","-143","-1","Estimated","41","","Surplus","Final"
"07.01.2020 22:00 - 07.01.2020 23:00","-209","-1","Estimated","59","","Surplus","Final"
"07.01.2020 23:00 - 08.01.2020 00:00","-18","-1","Estimated","5","","Surplus","Final"
"08.01.2020 00:00 - 08.01.2020 01:00","-180","-1","Estimated","51","","Surplus","Final"
"08.01.2020 01:00 - 08.01.2020 02:00","-258","-1","Estimated","73","","Surplus","Final"
"08.01.2020 02:00 - 08.01.2020 03:00","-332","-1","Estimated","95","","Surplus","Final"
"08.01.2020 03:00 - 08.01.2020 04:00","-34","-1","Estimated","9","","Surplus","Final"
"08.01.2020 04:00 - 08.01.2020 05:00","2700","2350","Estimated","64","","Deficit","Final"
"08.01.2020 05:00 - 08.01.2020 06:00","5290","2368","Estimated","5","","Deficit","Final"
"08.01.2020 06:00 - 08.01.2020 07:00","-75","-1","Estimated","21","","Surplus","Final"
"08.01.2020 07:00 - 08.01.2020 08:00","-222","-1","Estimated","63","","Surplus","Final"
"08.01.2020 08:00 - 08.01.2020 09:00","-197","-1","Estimated","56","","Surplus","Final"
"08.01.2020 09:00 - 08.01.2020 10:00","-247","-1","Estimated","70","","Surplus","Final"
"08.01.2020 10:00 - 08.01.2020 11:00","-346","-1","Estimated","98","","Surplus","Final"
"08.01.2020 11:00 - 08.01.2020 12:00","-579","-1","Estimated","165","","Surplus","Final"
"08.01.2020 12:00 - 08.01.2020 13:00","-104","-1","Estimated","30","","Surplus","Final"
"08.01.2020 13:00 - 08.01.2020 14:00","2676","2350","Estimated","59","","Deficit","Final"
"08.01.2020 14:00 - 08.01.2020 15:00","2536","2350","Estimated","34","","Deficit","Final"
"08.01.2020 15:00 - 08.01.2020 16:00","2534","2350","Estimated","33","","Deficit","Final"
"08.01.2020 16:00 - 08.01.2020 17:00","-1102","-131","Estimated","315","","Surplus","Final"
"08.01.2020 17:00 - 08.01.2020 18:00","-213","-1","Estimated","61","","Surplus","Final"
"08.01.2020 18:00 - 08.01.2020 19:00","2531","2350","Estimated","33","","Deficit","Final"
"08.01.2020 19:00 - 08.01.2020 20:00","2474","2350","Estimated","23","","Deficit","Final"
"08.01.2020 20:00 - 08.01.2020 21:00","2387","2350","Estimated","7","","Deficit","Final"
"08.01.2020 21:00 - 08.01.2020 22:00","2381","2350","Estimated","6","","Deficit","Final"
"08.01.2020 22:00 - 08.01.2020 23:00","-155","-1","Estimated","44","","Surplus","Final"
"08.01.2020 23:00 - 09.01.2020 00:00","-64","-1","Estimated","18","","Surplus","Final"
"09.01.2020 00:00 - 09.01.2020 01:00","-27","-1","Estimated","8","","Surplus","Final"
"09.01.2020 01:00 - 09.01.2020 02:00","2359","2350","Estimated","2","","Deficit","Final"
"09.01.2020 02:00 - 09.01.2020 03:00","-23","-1","Estimated","6","","Surplus","Final"
"09.01.2020 03:00 - 09.01.2020 04:00","2494","2350","Estimated","26","","Deficit","Final"
"09.01.2020 04:00 - 09.01.2020 05:00","-24","-1","Estimated","6","","Surplus","Final"
"09.01.2020 05:00 - 09.01.2020 06:00","2640","2350","Estimated","53","","Deficit","Final"
"09.01.2020 06:00 - 09.01.2020 07:00","2829","2350","Estimated","87","","Deficit","Final"
"09.01.2020 07:00 - 09.01.2020 08:00","-3","-1","Estimated","1","","Surplus","Final"
"09.01.2020 08:00 - 09.01.2020 09:00","-41","-1","Estimated","12","","Surplus","Final"
"09.01.2020 09:00 - 09.01.2020 10:00","-61","-1","Estimated","17","","Surplus","Final"
"09.01.2020 10:00 - 09.01.2020 11:00","-234","-1","Estimated","67","","Surplus","Final"
"09.01.2020 11:00 - 09.01.2020 12:00","-90","-1","Estimated","25","","Surplus","Final"
"09.01.2020 12:00 - 09.01.2020 13:00","2496","2350","Estimated","27","","Deficit","Final"
